headline,link,description,time
মেহেরপুরে জেলা পরিষদ চেয়ারম্যান হলেন আ. লীগের আব্দুস সালাম,https://banglanews24.com/election/news/bd/972400.details,মেহেরপুর: মেহেরপুর জেলা পরিষদ নির্বাচনে ১৭৬ ভোট পেয়ে চেয়ারম্যান নির্বাচিত হয়েছেন বাংলাদেশ আওয়ামী লীগ মনোনীত প্রার্থী অ্যাডভোকেট,"১৩১৬ ঘণ্টা, অক্টোবর ১৮, ২০২২"
মেহেরপুরে পুলিশের অভিযানে গ্রেফতার ৮,https://banglanews24.com/national/news/bd/971143.details,"মেহেরপুর: মেহেরপুর অভিযান চালিয়ে বিভিন্ন মামলার ৮ আসামি গ্রেফতার করেছে পুলিশ।
শনিবার (১৫ অক্টোবর) দিনগত রাতে জেলার বিভিন্ন স্থানে","১১২৩ ঘণ্টা, অক্টোবর ১৬, ২০২২"
ছেলের অটোরিকশার নিচে চাপা পড়ে প্রাণ হারালেন বাবা,https://banglanews24.com/national/news/bd/970078.details,"মেহেরপুর: মেহেরপুরের গাংনী উপজেলায় ছেলের অটোরিকশার নিচে চাপা পড়ে মারা গেলেন বাবা ইব্রাহিম জোয়ার্দার (৫৫)। 
শুক্রবার (১৪ অক্টোবর)","১৫১২ ঘণ্টা, অক্টোবর ১৪, ২০২২"
গাংনীতে অটোভ্যানের চাকায় ওড়না পেঁচিয়ে শ্রমিক নিহত,https://banglanews24.com/national/news/bd/968239.details,মেহেরপুর: মেহেরপুরের গাংনীতে অটোভ্যানের চাকায় ওড়না জড়িয়ে গলায় ফাঁস লেগে নাজমা খাতুন (২৫) নামে এক শ্রমিক নিহত হয়েছেন।,"১৫৫৬ ঘণ্টা, অক্টোবর ১১, ২০২২"
যে গ্রামের চোর-ডাকাতরা এখন রেমিটেন্স যোদ্ধা!,https://banglanews24.com/feature/news/bd/968203.details,মেহেরপুর: অভিশপ্ত একটি গ্রামের নাম ছিল মেহেরপুরের ট্যাংগার মাঠ। মেহেরপুর জেলা শহর থেকে মাত্র পাঁচ কিলোমিটার দূরে কুতুবপুর,"১৫২৮ ঘণ্টা, অক্টোবর ১১, ২০২২"
করোনা রোধে টিকার আওতায় মেহেরপুরে ৮২ হাজার শিশু,https://banglanews24.com/health/news/bd/968158.details,"মেহেরপুর: মেহেরপুরে ৫-১১ বছর বয়সী নিবন্ধনকৃত ৮২ হাজার শিশুকে করোনা ভাইরাস রোধে টিকা দেওয়া শুরু হয়েছে।
মঙ্গলবার (১১ অক্টোবর)","১৪৫৫ ঘণ্টা, অক্টোবর ১১, ২০২২"
গাংনীতে বিদ্যুৎস্পৃষ্ট হয়ে শিশুর মৃত্যু,https://banglanews24.com/national/news/bd/967222.details,"মেহেরপুর: মেহেরপুরের গাংনী পৌরসভা শহরের ভিটেপাড়া গ্রামে বিদ্যুৎস্পৃষ্ট হয়ে ইবনে মায়াজ (২) নামে একটি শিশুর মৃত্যু হয়েছে। 
রোববার (৯","১৭০২ ঘণ্টা, অক্টোবর ৯, ২০২২"
গাংনীতে কোমলপানীয় ভেবে কিশোরের বিষপান,https://banglanews24.com/national/news/bd/966793.details,মেহেরপুর: কোমলপানীয় ভেবে এনার্জি ড্রিংকসের বোতলে রাখা বিষ পান করে আব্দুল্লাহ (১৫) নামে এক কিশোর এখন মৃত্যুশয্যায়। তাকে গাংনী উপজেলা,"১৭০৬ ঘণ্টা, অক্টোবর ৮, ২০২২"
সৌদি আরবে অসুস্থ হয়ে মারা গেলেন গাংনীর কামরুজ্জামান,https://banglanews24.com/national/news/bd/966133.details,মেহেরপুর: সংসারে স্বচ্ছলতা আনতে যৌবনে সৌদি আরবে গিয়েছিলেন গাংনী উপজেলার তেরাইল গ্রামের কামরুজ্জামান। ২২ বছর প্রবাসেই ছিলেন তিনি।,"১৩২৪ ঘণ্টা, অক্টোবর ৭, ২০২২"
প্রবীণ আ.লীগ নেতা মোমিন চৌধুরী হাসপাতালে,https://banglanews24.com/politics/news/bd/964885.details,"মেহেরপুর: ঐতিহাসিক মুজিবনগর সরকারের অন্যতম নেতা, বঙ্গবন্ধুর হাতে গড়া সংগ্রাম কমিটির বাগোয়ান ইউনিয়নের আহ্বায়ক প্রবীণ আওয়ামী","২০৪৩ ঘণ্টা, অক্টোবর ৪, ২০২২"
সৌদি আরবে সড়ক দুর্ঘটনায় বাংলাদেশি নিহত,https://banglanews24.com/national/news/bd/964483.details,মেহেরপুর: সৌদি আরবে সড়ক দুর্ঘটনায় আলম হোসেন (৩৫) নামে এক বাংলাদেশি নিহত হয়েছেন। তার বাড়ি মেহেরপুরের গাংনী উপজেলার ভবানীপুর,"১২২০ ঘণ্টা, অক্টোবর ৪, ২০২২"
মোটরসাইকেলের নিয়ন্ত্রণ হারিয়ে কিশোরের মৃত্যু,https://banglanews24.com/national/news/bd/964411.details,মেহেরপুর: মেহেরপুরের গাংনী উপজেলার বামন্দী-কাজিপুর সড়কের হাড়াভাঙ্গা নামক স্থানে দ্রুতগতিতে স্পিড বেকার পার হওয়ার সময়,"১০৩৭ ঘণ্টা, অক্টোবর ৪, ২০২২"
